"com","calls_ratio_var","sms_ratio_var","vol_ratio_var","calls_entropy","sms_entropy","sms2calls_ratio","calls_isolation","sms_isolation","og_calls_work_ratio","og_sms_work_ratio","og_vol_work_ratio","ic_calls_work_ratio","ic_sms_work_ratio","ic_vol_work_ratio","og_calls_peak_ratio","og_sms_peak_ratio","og_vol_peak_ratio","ic_calls_peak_ratio","ic_sms_peak_ratio","ic_vol_peak_ratio","og_calls_week_ratio","og_sms_week_ratio","og_vol_week_ratio","ic_calls_week_ratio","ic_sms_week_ratio","ic_vol_week_ratio","dist2d","calls_dist_mean","sms_dist_mean","calls2d_ratio","sms2d_ratio","calls_ratio","sms_ratio","vol_ratio"
11,0.156962579149768,0.071321401194309,0.0306819687367484,6.82606095970115,6.9849891750796,0.621811975279872,1598,1559.5,0.0103058807149378,0.0308025207034176,0.00275370295757744,0.00631481811044823,0.0292678504237177,0.00305538691669164,1.73317422456562,0.900398625507883,0.967278349197147,1.49411979616777,0.506308528993298,0.916755975035556,0.300080699311044,0.295936906023205,0.279075715183657,0.286986999339768,0.284749145024091,0.279892630242886,84.001369653597,64.7865287424323,64.8161561183505,0.113870591174702,0.313873027198347,1.00960447580192,0.75702058215077,1.07913717136733
12,0.00466790859423258,1.573249990811,0.00140935930967351,7.56047930621896,6.8180598391165,0.344503508544685,1601,1562,0.00511290438218923,0.0228366393480215,0.00391309901318758,0.00375582640264254,0.0496122379886111,0.00164050291734484,2.6845834157926,1.09993846498098,0.267653074627986,2.83263816475495,0.78707917756044,1.15349398128503,0.274180354564462,0.302480008584129,0.299030995893763,0.28944739752417,0.288657378972303,0.293123820409664,71.3001380941138,55.7267733791421,50.275094500336,0.129223054802957,0.200172966405851,1.28676795237838,1.25903395740052,0.815526703815859
13,0.0315668813704892,0.202907638541907,0.634527294726474,7.59123039224448,6.21672257109917,0.79221280289656,1591,1550,0.0337645457766684,0.0128633823887636,0.00293254118017704,0.0396685552955075,0.015834964381536,0.00422890611776566,0.497848424638093,1.97441474097568,1.74954150774974,0.373839105644499,0.281070803404358,0.824594898316759,0.310556839454763,0.270986324038953,0.270106509439677,0.311617263716431,0.28325353859971,0.29562402626367,68.0067268500925,56.8103949036121,33.5605862575946,0.178539115376508,0.194669684587615,1.30819575126025,0.982259779080312,1.0303870726528
14,0.0263721131277504,0.0290243373097971,0.014453172375223,6.86219276490057,6.52546862264634,0.551278493988778,1596,1551,0.0319123468049759,0.0430270321375143,0.00215861086472122,0.0429386579442196,0.0195775636912551,0.00329929576834599,1.06891275989242,0.822708295516428,1.6622057279952,1.36170757240898,1.54316885418397,1.48228254524226,0.282247270571321,0.284034970477125,0.295226892848215,0.284271853474055,0.289028760865705,0.29907506258875,94.9689700922463,51.8654675374242,59.5030714588421,0.0861941363666441,0.253594296823065,1.14632406635489,0.710230566082343,0.951830689322664
15,0.0253271079003994,0.0264735055975353,0.0140084603610091,8.08639834731878,6.44087513241843,0.462521749402163,1593,1533,0.00366327413555526,0.0298023101795867,0.00524799999842681,0.0299748465640406,0.0108079449705187,0.00364303519952338,4.77202243483999,1.03607795535775,0.982349000206143,1.04431498847526,1.85918220129845,1.29358206299306,0.290609107787148,0.280833457522266,0.310972679953806,0.291378659824932,0.284189089930224,0.287951470178185,106.354458190542,66.7942076587191,64.1441792035147,0.151232877195917,0.253713132363684,1.43414666968508,0.758418609894746,0.565728554960984
16,0.281597014324566,0.287164584811297,0.957917844006555,7.72646228718677,7.66548369309019,1.07715518553792,1579,1352,0.0494881135965793,0.018192881023708,0.000876700618991596,0.0651970817937506,0.0500612223080645,0.00502133281406389,0.75979381443299,0.56575088286347,1.20772042028323,0.766793970590949,0.35573331623411,0.819358913627033,0.278147585619639,0.27749717636487,0.281792674917216,0.2476884941804,0.289377516258904,0.270646480056197,94.8588531512855,58.7715543282866,78.1271471515873,0.131901298057371,0.407706795078202,1.64495722980307,1.30929282299159,1.93827347709429
17,0.34125871002565,0.17994488174478,0.390396474393803,6.59974164101159,5.15938596667283,0.651702985347403,1575.5,1377,0.0226595472706309,0.0261889051375647,0.00279954552562924,0.0371312177148125,0.0267914240277263,0.0036313813235985,0.589953147130533,1.86295594054521,1.29474853583813,1.07667503176501,3.85228506100921,0.960131173205497,0.283664007093868,0.285391278691056,0.280155662986389,0.283715039547825,0.289831660283962,0.282499139438177,129.627800055881,52.9823689429075,70.5646863958813,0.0696716684584974,0.159323388989808,1.53297593524751,0.83047562753838,1.0072636682334
18,0.264828745575983,0.431311773022752,0.89578628017243,6.91056447626662,7.2979690201469,0.84156749735753,1575,1410,0.0389046544619701,0.0225279349174626,0.000845081893184162,0.0651313087839661,0.0471298739654611,0.00458974008824293,0.732296803824869,1.4398972789859,1.21394607294697,0.781580545169846,0.470810548902886,0.743445494108906,0.263722480527317,0.313564472287816,0.28532601312703,0.265304779660636,0.255581684166666,0.272103544877189,131.666300852238,55.0696794739472,97.9831555805767,0.0646493367462622,0.23004377933509,2.28161537690438,1.08453690236996,2.29991566755765
19,0.0860022895836855,0.0328291705465388,1.19238496844047,8.20293220389819,8.00607513081531,0.547077845443715,1599,1504,0.0359660106490042,0.0436988817226139,0.00159695412742068,0.0557093360722434,0.0115539919701504,0.00545135114302953,0.0733103859138148,0.398662391836453,0.939209726443769,0.995653087489822,10.9679389312977,0.75725454156333,0.259247547544986,0.298288756223734,0.307376831229093,0.247839846652023,0.295208952763389,0.29473331819904,133.638494025895,73.7734828566896,108.087106395277,0.143665739161827,0.451152966201362,1.93013111854176,0.656489623787165,2.24205775644647
21,0.0239669939533435,0.131042078728,0.0918914905498586,7.74377027395293,7.18394088005837,0.478358754435663,1579,1439.5,0.0215809103717692,0.0395209900611272,0.00480782643672168,0.030506061970927,0.0418868679121221,0.00457486244922427,1.71926136235928,1.56474758971667,1.33940269332239,3.03203932799964,1.18657605208887,1.08436010698699,0.276439839161302,0.281668344675123,0.308422302632046,0.270693324953051,0.291571465978267,0.270437762569193,123.515786193011,70.9297698084761,94.873786026172,0.142492504237472,0.284257188894793,1.36435094803703,0.761413600301155,0.668104673996422
22,0.746030906474187,0.00670278315876511,1.97009323399674,6.66369906699882,7.17436759073246,1.89465692639298,1607,1600,0.0802031275574064,0.0452716510624108,0.000654585770102457,0.0278351064008071,0.0188943785314636,0.00117991774694844,1.40540540540541,0.48271733998786,1.73157081014224,1.28026367980658,2.07096858982784,1.4613538689762,0.363715142327196,0.305213099213247,0.290608761144624,0.124292784051107,0.299271624839931,0.268769307525841,84.1500365605203,45.8915376869618,62.0333656342831,0.120484948297934,0.343068814293859,0.438999482157042,0.652853879701849,1.1673128376315
23,0.0909028841648954,0.014272905181072,0.0320745810138688,7.58263772909828,7.6115922648547,0.809274663048114,1609,1595.5,0.0237013155081721,0.0355958388569237,0.000829181007388582,0.02372066147085,0.017689981357712,0.000887903262775787,0.76739429043782,0.952111269468049,2.17121181555315,1.33555166632282,0.954303572388403,1.9547287773384,0.287158317078658,0.295614476971709,0.285012418186654,0.28236917626098,0.287731039070938,0.285126905871577,73.470359580083,47.976118326523,52.605284737794,0.149944341253672,0.315969921364052,1.06137270312431,0.868796017139153,1.00819111304564
24,0.10819001759171,0.282640453809669,0.152285214773014,8.45337360273009,7.42889369160968,1.31066044952914,1593.5,1511,0.0322611323377338,0.0197634381736154,0.00310239643065246,0.0278809210914438,0.027616391904023,0.00302124883603013,1.49003739612143,0.771217412969469,1.55232468533743,1.80596440065188,1.12280229244776,0.661683716490071,0.332553137741535,0.296686422576328,0.336089564964174,0.30967034307147,0.287742826916897,0.304871825904714,84.4127759190055,62.0069224344662,63.8484476455427,0.164733874056156,0.306113152967256,1.09568561743958,0.978286496587242,0.91484716793265
25,0.0896665799741081,0.018393418081827,1.79751032330922,7.84028892286084,7.19509177939131,1.26463267189716,1595,1542,0.044463541920916,0.0164356960394468,0.00133781717271713,0.0495147570876953,0.00734899492293661,0.00435690959389375,0.948311572745823,1.53349667483374,1.67282482775441,1.04492873003367,1.55508301776872,0.87103064737463,0.288144624937962,0.290286823469299,0.271751521979638,0.29521826028496,0.277569717013564,0.294830875273314,85.8489382762182,56.8877962286744,63.8787025747393,0.212145951105679,0.34086780823043,1.46474304808183,0.901150219392665,2.23938707470784
